String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
hydrogen	Hydrogen	Hidrógeno	Hydrogène	氢	Waterstof	Idrogeno	Водород	수소	Hidrogén	Wasserstoff	Vodík	Водень	Hiđrô	هیدروژن	Hidrogen	Hidrogénio	Vety	Водород	Hidrogen	Hidrojen	水素	Vodík	Hidrogen	Водоник	Hydrogen	氫	हाइड्रोजन	Wodór	هيدروجين	Väte	Brint	ไฮโดรเจน	Υδρογόνο	מימן	Vodik	Hydrogen	Vodik	Hydrogen	Hidrogen	Ջրածին	Водород	Waterstof	நீரியம்	Vodorod	Hidrogeno	Hidrogênio	Idroheno	Сутек	Вадарод	Hidrogjeni	Vandenilis	Ūdeņradis	Vesinik	Hidrogen	Vetni	Hidrojeni	Hydrogenium	Hydrogen	హైడ్రోజన్
helium	Helium	Helio	Hélium	氦	Helium	Elio	Гелий	헬륨	Hélium	Helium	Hélium	Гелій	Heli	هلیم	Heliu	Hélio	Helium	Хелий	Helium	Helyum	ヘリウム	Helium	Heli	Хелијум	Helium	氦	हीलियम	Hel	هيليوم	Helium	Helium	ฮีเลียม	Ήλιο	הליום	Helij	Helium	Helij	Helium	Helium	Հելիում	Хелиум	Helium	ஈலியம்	Geliy	Heliumo	Hélio	Helyo	Гелий	Гелій	Heliumi	Helis	Hēlijs	Heelium	Helium	Helín	Heli	Helium	Heliwm	హీలియం
lithium	Lithium	Litio	Lithium	锂	Lithium	Litio	Литий	리튬	Lítium	Lithium	Lítium	Літій	Liti	لیتیم	Litiu	Lítio	Litium	Литий	Litium	Lityum	リチウム	Lithium	Liti	Литијум	Litium	鋰	लिथियम	Lit	ليثيوم	Litium	Lithium	ลิเทียม	Λίθιο	ליתיום	Litij	Litium	Litij	Lithium	Litium	Լիթիում	Литиум	Litium	லித்தியம்	Litiy	Litio	Lítio	Lityo	Литий	Літый	Litiumi	Litis	Litijs	Liitium	Litium	Litín	Lithi	Lithium	Lithiwm	లిథియం
beryllium	Beryllium	Berilio	Béryllium	铍	Beryllium	Berillio	Бериллий	베릴륨	Berillium	Beryllium	Berýlium	Берилій	Berili	بریلیم	Beriliu	Berílio	Beryllium	Берилий	Berilium	Berilyum	ベリリウム	Beryllium	Beril·li	Берилијум	Beryllium	鈹	बेरेलियम	Beryl	بيريليوم	Beryllium	Beryllium	เบริลเลียม	Βηρύλλιο	בריליום	Berilij	Beryllium	Berilij	Beryllium	Berilium	Բերիլիում	Берилиум	Berillium	பெரிலியம்	Berilliy	Berilio	Berílio	Berilyo	Бериллий	Берылій	Beriliumi	Berilis	Berilijs	Berüllium	Berillium	Beryllín	Berili	Beryllium	Beryliwm	బెరీలియం
boron	Boron	Boro	Bore	硼	Boor	Boro	Бор	붕소	Bór	Bor	Bór	Бор	Bo	بور	Bor	Boro	Boori	Бор	Boron	Bor	ホウ素	Bor	Bor	Бор	Bor	硼	बोरान	Bor	بورون	Bor	Bor	โบรอน	Βόριο	בורון	Bor	Bor	Bor	Boron	Boron	Բոր	Бор	Boor	போரான்	Bor	Boro	Boro	Boron	Бор	Бор	Bori	Boras	Bors	Boor	Bor	Bór	Boroni	Borium	Boron	బోరాన్
carbon	Carbon	Carbono	Carbone	碳	Koolstof	Carbonio	Углерод	탄소	Szén	Kohlenstoff	Uhlík	Вуглець	Cacbon	کربن	Carbon	Carbono	Hiili	Въглерод	Karbon	Karbon	炭素	Uhlík	Carboni	Угљеник	Karbon	碳	कार्बन	Węgiel	كربون	Kol	Carbon	คาร์บอน	Άνθρακας	פחמן	Ogljik	Karbon	Ugljik	Carbon	Karbon	Ածխածին	Јаглерод	Koolstof	கரிமம்	Uglerod	Karbono	Carbono	Karbon	Көміртек	Вуглярод	Karboni	Anglis	Ogleklis	Süsinik	Karbon	Kolefni	Kaboni	Carbonium	Carbon	కార్బన్
nitrogen	Nitrogen	Nitrógeno	Azote	氮	Stikstof	Azoto	Азот	질소	Nitrogén	Stickstoff	Dusík	Азот	Nitơ	نیتروژن	Nitrogen	Nitrogénio	Typpi	Азот	Nitrogen	Azot	窒素	Dusík	Nitrogen	Азот	Nitrogen	氮	नाइट्रोजन	Azot	نيتروجين	Kväve	Nitrogen	ไนโตรเจน	Άζωτο	חנקן	Dušik	Nitrogen	Dušik	Nitrogen	Nitrogen	Ազոտ	Азот	Stikstof	நைதரசன்	Azot	Nitrogeno	Nitrogênio	Nitroheno	Азот	Азот	Azoti	Azotas	Slāpeklis	Lämmastik	Azot	Köfnunarefni	Nitrojeni	Nitrogenium	Nitrogen	నత్రజని
oxygen	Oxygen	Oxígeno	Oxygène	氧	Zuurstof	Ossigeno	Кислород	산소	Oxigén	Sauerstoff	Kyslík	Кисень	Ôxy	اکسیژن	Oxigen	Oxigênio	Happi	Кислород	Oksigen	Oksijen	酸素	Kyslík	Oxigen	Кисеоник	Oksygen	氧	ऑक्सीजन	Tlen	أكسجين	Syre	Oxygen	ออกซิเจน	Οξυγόνο	חמצן	Kisik	Oksygen	Kisik	Oxygen	Oksigen	Թթվածին	Кислород	Suurstof	ஆக்சிசன்	Kislorod	Oksigeno	Oxigênio	Oksiheno	Оттек	Кісларод	Oksigjeni	Deguonis	Skābeklis	Hapnik	Oksigen	Súrefni	Oksijeni	Oxygenium	Ocsigen	ఆక్సిజన్
fluorine	Fluorine	Flúor	Fluor	氟	Fluor	Fluoro	Фтор	플루오린	Fluor	Fluor	Fluór	Фтор	Flo	فلوئور	Fluor	Flúor	Fluori	Флуор	Fluor	Flor	フッ素	Fluor	Fluor	Флуор	Fluor	氟	फ्लोरीन	Fluor	فلور	Fluor	Fluor	ฟลูออรีน	Φθόριο	פלואור	Fluor	Fluor	Fluor	Fluorine	Fluorin	Ֆտոր	Флуор	Fluoor	புளோரின்	Ftor	Fluoro	Flúor	Plorina	Фтор	Фтор	Fluori	Fluoras	Flors	Fluor	Flüor	Flúor	Florini	Fluorum	Fflworin	ఫ్లోరిన్
neon	Neon	Neón	Néon	氖	Neon	Neon	Неон	네온	Neon	Neon	Neón	Неон	Neon	نئون	Neon	Néon	Neon	Неон	Neon	Neon	ネオン	Neon	Neó	Неон	Neon	氖	नियोन	Neon	نيون	Neon	Neon	นีออน	Νέον	נאון	Neon	Neon	Neon	Neon	Neon	Նեոն	Неон	Neon	நியான்	Neon	Neono	Neônio	Neon	Неон	Неон	Neoni	Neonas	Neons	Neoon	Neon	Neon	Neoni	Neon	Neon	నియాన్
sodium	Sodium	Sodio	Sodium	钠	Natrium	Sodio	Натрий	소듐 (나트륨)	Nátrium	Natrium	Sodík	Натрій	Natri	سدیم	Sodiu	Sódio	Natrium	Натрий	Natrium	Sodyum	ナトリウム	Sodík	Sodi	Натријум	Natrium	鈉	सोडियम	Sód	صوديوم	Natrium	Natrium	โซเดียม	Νάτριο	נתרן	Natrij	Natrium	Natrij	Sodium	Natrium	Նատրիում	Натриум	Natrium	சோடியம்	Natriy	Natrio	Sódio	Sodyo	Натрий	Натрый	Natriumi	Natris	Nātrijs	Naatrium	Natrium	Natrín	Natiri	Natrium	Sodiwm	సోడియం
magnesium	Magnesium	Magnesio	Magnésium	镁	Magnesium	Magnesio	Магний	마그네슘	Magnézium	Magnesium	Horčík	Магній	Magiê	منیزیم	Magneziu	Magnésio	Magnesium	Магнезий	Magnesium	Magnezyum	マグネシウム	Hořčík	Magnesi	Магнезијум	Magnesium	鎂	मैग्नीशियम	Magnez	مغنزيوم	Magnesium	Magnesium	แมกนีเซียม	Μαγνήσιο	מגנזיום	Magnezij	Magnesium	Magnezij	Magnesium	Magnesium	Մագնեզիում	Магнезиум	Magnesium	மக்னீசியம்	Magniy	Magnezio	Magnésio	Magnesyo	Магний	Магній	Magnezi	Magnis	Magnijs	Magneesium	Maqnezium	Magnesín	Magnesi	Magnesium	Magnesiwm	మెగ్నీషియం
aluminium	Aluminum	Aluminio	Aluminium	铝	Aluminium	Alluminio	Алюминий	알루미늄	Alumínium	Aluminium	Hliník	Алюміній	Nhôm	آلومینیم	Aluminiu	Alumínio	Alumiini	Алуминий	Alumunium	Alüminyum	アルミニウム	Hliník	Alumini	Алуминијум	Aluminium	鋁	एल्युमिनियम	Glin	ألمنيوم	Aluminium	Aluminium	อะลูมิเนียม	Αργίλιο	אלומיניום	Aluminij	Aluminium	Aluminij	Aluminium	Aluminium	Ալյումին	Алуминиум	Aluminium	அலுமீனியம்	Alyuminiy	Aluminio	Alumínio	Aluminyo	Алюминий	Алюміній	Alumini	Aliuminis	Alumīnijs	Alumiinium	Alüminium	Ál	Alumini	Aluminium	Alwminiwm	అల్యూమినియం
silicon	Silicon	Silicio	Silicium	硅	Silicium	Silicio	Кремний	규소	Szilícium	Silicium	Kremík	Кремній	Silic	سیلیسیم	Siliciu	Silício	Pii	Силиций	Silikon	Silisyum	ケイ素	Křemík	Silici	Силицијум	Silisium	矽	सिलिकॉन	Krzem	سيليكون	Kisel	Silicium	ซิลิคอน	Πυρίτιο	צורן	Silicij	Silisium	Silicij	Silicon	Silikon	Սիլիցիում	Силициум	Silikon	சிலிக்கான்	Kremniy	Silicio	Silício	Silikon	Кремний	Крэмній	Siliciumi	Silicis	Silīcijs	Räni	Silisium	Kísill	Silikoni	Silicium	Silicon	సిలికాన్
phosphorus	Phosphorus	Fósforo	Phosphore	磷	Fosfor	Fosforo	Фосфор	인	Foszfor	Phosphor	Fosfor	Фосфор	Phốtpho	فسفر	Fosfor	Fósforo	Fosfori	Фосфор	Fosfor	Fosfor	リン	Fosfor	Fòsfor	Фосфор	Fosfor	磷	फास्फोरस	Fosfor	فوسفور	Fosfor	Fosfor	ฟอสฟอรัส	Φωσφόρος	זרחן	Fosfor	Fosfor	Fosfor	Phosphorus	Fosforus	Ֆոսֆոր	Фосфор	Fosfor	பாசுபரசு	Fosfor	Fosforo	Fósforo	Pospora	Фосфор	Фосфар	Fosfori	Fosforas	Fosfors	Fosfor	Fosfor	Fosfór	Posferi	Phosphorus	Ffosfforws	ఫాస్ఫరస్
sulfur	Sulfur	Azufre	Soufre	硫	Zwavel	Zolfo	Сера	황	Kén	Schwefel	Síra	Сірка	Lưu huỳnh	گوگرد	Sulf	Enxofre	Rikki	Сяра	Belerang	Kükürt	硫黄	Síra	Sofre	Сумпор	Svovel	硫	गंधक	Siarka	كبريت	Svavel	Svovl	กำมะถัน	Θείο	גופרית	Žveplo	Svovel	Sumpor	Sulphur	Sulfur	Ծծումբ	Сулфур	Swael	கந்தகம்	Oltingugurt	Sulfuro	Enxofre	Asupre	Күкірт	Сера	Sulfuri	Siera	Sērs	Väävel	Kükürd	Brennisteinn	Sulfuri	Sulfur	Sylffwr	సల్ఫర్
chlorine	Chlorine	Cloro	Chlore	氯	Chloor	Cloro	Хлор	염소	Klór	Chlor	Chlór	Хлор	Clo	کلر	Clor	Cloro	Kloori	Хлор	Klor	Klor	塩素	Chlor	Clor	Хлор	Klor	氯	क्लोरीन	Chlor	كلور	Klor	Klor	คลอรีน	Χλώριο	כלור	Klor	Klor	Klor	Chlorine	Klorin	Քլոր	Хлор	Chloor	குளோரின்	Xlor	Kloro	Cloro	Kloro	Хлор	Хлор	Klori	Chloras	Hlors	Kloor	Xlor	Klór	Klorini	Chlorum	Clorin	క్లోరిన్
argon	Argon	Argón	Argon	氩	Argon	Argon	Аргон	아르곤	Argon	Argon	Argón	Аргон	Argon	آرگون	Argon	Árgon	Argon	Аргон	Argon	Argon	アルゴン	Argon	Argó	Аргон	Argon	氬	आर्गन	Argon	أرغون	Argon	Argon	อาร์กอน	Αργό	ארגון	Argon	Argon	Argon	Argon	Argon	Արգոն	Аргон	Argon	ஆர்கான்	Argon	Argono	Argônio	Argon	Аргон	Аргон	Argoni	Argonas	Argons	Argoon	Arqon	Argon	Arigoni	Argon	Argon	ఆర్గాన్
potassium	Potassium	Potasio	Potassium	钾	Kalium	Potassio	Калий	포타슘 (칼륨)	Kálium	Kalium	Draslík	Калій	Kali	پتاسیم	Potasiu	Potássio	Kalium	Калий	Kalium	Potasyum	カリウム	Draslík	Potassi	Калијум	Kalium	鉀	पोटैशियम	Potas	بوتاسيوم	Kalium	Kalium	โพแทสเซียม	Κάλιο	אשלגן	Kalij	Kalium	Kalij	Potassium	Kalium	Կալիում	Калиум	Kalium	பொட்டாசியம்	Kaliy	Kalio	Potássio	Potasa	Калий	Калій	Kaliumi	Kalis	Kālijs	Kaalium	Kalium	Kalín	Kali	Kalium	Potasiwm	పొటాషియం
calcium	Calcium	Calcio	Calcium	钙	Calcium	Calcio	Кальций	칼슘	Kalcium	Calcium	Vápnik	Кальцій	Canxi	کلسیم	Calciu	Cálcio	Kalsium	Калций	Kalsium	Kalsiyum	カルシウム	Vápník	Calci	Калцијум	Kalsium	鈣	कैल्सियम	Wapń	كالسيوم	Kalcium	Calcium	แคลเซียม	Ασβέστιο	סידן	Kalcij	Kalsium	Kalcij	Calcium	Kalsium	Կալցիում	Калциум	Kalsium	கல்சியம்	Kalsiy	Kalcio	Cálcio	Kalsyo	Кальций	Кальцый	Kalcium	Kalcis	Kalcijs	Kaltsium	Kalsium	Kalsín	Kalisi	Calcium	Calsiwm	కాల్షియం
scandium	Scandium	Escandio	Scandium	钪	Scandium	Scandio	Скандий	스칸듐	Szkandium	Scandium	Skandium	Скандій	Scandi	اسکاندیم	Scandiu	Escândio	Skandium	Скандий	Skandium	Skandiyum	スカンジウム	Skandium	Escandi	Скандијум	Scandium	鈧	स्कैंडियम	Skand	سكانديوم	Skandium	Scandium	สแคนเดียม	Σκάνδιο	סקנדיום	Skandij	Scandium	Skandij	Scandium	Skandium	Սկանդիում	Скандиум	Skandium	இசுக்காண்டியம்	Skandiy	Skandio	Escândio	Iskandyo	Скандий	Скандый	Skandiumi	Skandis	Skandijs	Skandium	Skandium	Skandín	Skandi	Scandium	Scandiwm	స్కాండియం
titanium	Titanium	Titanio	Titane	钛	Titanium	Titanio	Титан	타이타늄	Titán	Titan	Titán	Титан	Titan	تیتانیم	Titan	Titânio	Titaani	Титан	Titanium	Titanyum	チタン	Titan	Titani	Титанијум	Titan	鈦	टाइटैनियम	Tytan	تيتانيوم	Titan	Titan	ไทเทเนียม	Τιτάνιο	טיטניום	Titan	Titan	Titanij	Titanium	Titanium	Տիտան	Титан	Titaan	டைட்டேனியம்	Titan	Titano	Titânio	Titanyo	Титан	Тытан	Titani	Titanas	Titāns	Titaan	Titan	Títan	Titani	Titan	Titaniwm	టైటానియం
vanadium	Vanadium	Vanadio	Vanadium	钒	Vanadium	Vanadio	Ванадий	바나듐	Vanádium	Vanadium	Vanád	Ванадій	Vanadi	وانادیم	Vanadiu	Vanádio	Vanadiini	Ванадий	Vanadium	Vanadyum	バナジウム	Vanad	Vanadi	Ванадијум	Vanadium	釩	वैनेडियम	Wanad	فاناديوم	Vanadin	Vanadium	วาเนเดียม	Βανάδιο	ונדיום	Vanadij	Vanadium	Vanadij	Vanadium	Vanadium	Վանադիում	Ванадиум	Vanadium	வனேடியம்	Vanadiy	Vanado	Vanádio	Banadyo	Ванадий	Ванадый	Vanadiumi	Vanadis	Vanādijs	Vanaadium	Vanadium	Vanadín	Vanadi	Vanadium	Fanadiwm	వెనెడియం
chromium	Chromium	Cromo	Chrome	铬	Chroom	Cromo	Хром	크로뮴	Króm	Chrom	Chróm	Хром	Crom	کروم	Crom	Cromo	Kromi	Хром	Krom	Krom	クロム	Chrom	Crom	Хром	Krom	鉻	क्रोमियम	Chrom	كروم	Krom	Krom	โครเมียม	Χρώμιο	כרום	Krom	Krom	Krom	Chromium	Kromium	Քրոմ	Хром	Chroom	குரோமியம்	Xrom	Kromo	Cromo	Kromyo	Хром	Хром	Kromi	Chromas	Hroms	Kroom	Xrom	Króm	Chromi	Chromium	Cromiwm	క్రోమియం
manganese	Manganese	Manganeso	Manganèse	锰	Mangaan	Manganese	Марганец	망가니즈	Mangán	Mangan	Mangán	Марганець	Mangan	منگنز	Mangan	Manganês	Mangaani	Манган	Mangan	Mangan	マンガン	Mangan	Manganès	Манган	Mangan	錳	मैंगनीज	Mangan	منغنيز	Mangan	Mangan	แมงกานีส	Μαγγάνιο	מנגן	Mangan	Mangan	Mangan	Manganese	Mangan	Մանգան	Манган	Mangaan	மாங்கனீசு	Marganets	Mangano	Manganês	Mangganeso	Марганец	Марганец	Mangani	Manganas	Mangāns	Mangaan	Manqan	Mangan	Manganisi	Manganum	Manganîs	మాంగనీస్
iron	Iron	Hierro	Fer	铁	IJzer	Ferro	Железо	철	Vas	Eisen	Železo	Залізо	Sắt	آهن	Fier	Ferro	Rauta	Желязо	Besi	Demir	鉄	Železo	Ferro	Гвожђе	Jern	鐵	लोहा	Żelazo	حديد	Järn	Jern	เหล็ก	Σίδηρος	ברזל	Železo	Jern	Željezo	Iron	Ferum	Երկաթ	Железо	Yster	இரும்பு	Temir	Fero	Ferro	Bakal	Темір	Жалеза	Hekuri	Geležis	Dzelzs	Raud	Dəmir	Járn	Chuma	Ferrum	Haearn	ఇనుము
cobalt	Cobalt	Cobalto	Cobalt	钴	Kobalt	Cobalto	Кобальт	코발트	Kobalt	Cobalt	Kobalt	Кобальт	Coban	کبالت	Cobalt	Cobalto	Koboltti	Кобалт	Kobalt	Kobalt	コバルト	Kobalt	Cobalt	Кобалт	Kobolt	鈷	कोबाल्ट	Kobalt	كوبالت	Kobolt	Kobolt	โคบอลต์	Κοβάλτιο	קובלט	Kobalt	Kobolt	Kobalt	Cobalt	Kobalt	Կոբալտ	Кобалт	Kobalt	கோபால்ட்	Kobalt	Kobalto	Cobalto	Kobalto	Кобальт	Кобальт	Kobalti	Kobaltas	Kobalts	Koobalt	Kobalt	Kóbalt	Kobalti	Cobaltum	Cobalt	కోబాల్ట్
nickel	Nickel	Níquel	Nickel	镍	Nikkel	Nichel	Никель	니켈	Nikkel	Nickel	Nikel	Нікель	Niken	نیکل	Nichel	Níquel	Nikkeli	Никел	Nikel	Nikel	ニッケル	Nikl	Níquel	Никл	Nikkel	鎳	निकिल	Nikiel	نيكل	Nickel	Nikkel	นิกเกิล	Νικέλιο	ניקל	Nikelj	Nikkel	Nikal	Nickel	Nikel	Նիկել	Никел	Nikkel	நிக்கல்	Nikel	Nikelo	Níquel	Nikel	Никель	Нікель	Nikli	Nikelis	Niķelis	Nikkel	Nikel	Nikkel	Nikeli	Niccolum	Nicel	నికెల్
copper	Copper	Cobre	Cuivre	铜	Koper	Rame	Медь	구리	Réz	Kupfer	Meď	Мідь	Đồng	مس	Cupru	Cobre	Kupari	Мед	Tembaga	Bakır	銅	Měď	Coure	Бакар	Kobber	銅	ताम्र (कॉपर)	Miedź	نحاس	Koppar	Kobber	ทองแดง	Χαλκός	נחושת	Baker	Kopar	Bakar	Copper	Kuprum	Պղինձ	Бакар	Koper	செப்பு	Mis	Kupro	Cobre	Tanso	Мыс	Медзь	Bakrri	Varis	Varš	Vask	Mis	Kopar	Shaba	Cuprum	Copr	రాగి
zinc	Zinc	Zinc	Zinc	锌	Zink	Zinco	Цинк	아연	Cink	Zink	Zinok	Цинк	Kẽm	روی	Zinc	Zinco	Sinkki	Цинк	Seng	Çinko	亜鉛	Zinek	Zinc	Цинк	Sink	鋅	जस्ता (जिंक)	Cynk	زنك	Zink	Zink	สังกะสี	Ψευδάργυρος	אבץ	Cink	Sink	Cink	Zinc	Zink	Ցինկ	Цинк	Sink	துத்தநாகம்	Rux	Zinko	Zinco	Sink	Мырыш	Цынк	Zingu	Cinkas	Cinks	Tsink	Sink	Sink	Zinki	Zincum	Sinc	జింక్
gallium	Gallium	Galio	Gallium	镓	Gallium	Gallio	Галлий	갈륨	Gallium	Gallium	Gálium	Галій	Gali	گالیم	Galiu	Gálio	Gallium	Галий	Galium	Galyum	ガリウム	Gallium	Gal·li	Галијум	Gallium	鎵	गैलियम	Gal	غاليوم	Gallium	Gallium	แกลเลียม	Γάλλιο	גליום	Galij	Gallium	Galij	Gallium	Galium	Գալիում	Галиум	Gallium	காலியம்	Galliy	Galiumo	Gálio	Galyo	Галлий	Галій	Galiumi	Galis	Gallijs	Gallium	Qallium	Gallín	Gali	Gallium	Galiwm	గాలియం
germanium	Germanium	Germanio	Germanium	锗	Germanium	Germanio	Германий	저마늄	Germánium	Germanium	Germánium	Германій	Gecmani	ژرمانیم	Germaniu	Germânio	Germanium	Германий	Germanium	Germanyum	ゲルマニウム	Germanium	Germani	Германијум	Germanium	鍺	जरमैनियम	German	جرمانيوم	Germanium	Germanium	เจอร์เมเนียม	Γερμάνιο	גרמניום	Germanij	Germanium	Germanij	Germanium	Germanium	Գերմանիում	Германиум	Germanium	செர்மானியம்	Germaniy	Germaniumo	Germânio	Hermanyo	Германий	Германій	Germanium	Germanis	Germānijs	Germaanium	Germanium	German	Gerimani	Germanium	Germaniwm	జెర్మేనియం
arsenic	Arsenic	Arsénico	Arsenic	砷	Arseen	Arsenico	Мышьяк	비소	Arzén	Arsen	Arzén	Арсен	Asen	آرسینک	Arsen	Arsénio	Arseeni	Арсен	Arsen	Arsenik	ヒ素	Arsen	Arsènic	Арсен	Arsen	砷	आर्सेनिक	Arsen	زرنيخ	Arsenik	Arsen	อาร์ซีนิก	Αρσενικό	ארסן	Arzen	Arsen	Arsen	Arsenic	Arsenik	Մկնդեղ	Арсен	Arseen	ஆர்செனிக்	Margimush	Arseno	Arsênio	Arseniko	Күшән	Мыш'як	Arsenik	Arsenas	Arsēns	Arseen	Arsen	Arsen	Asenia	Arsenicum	Arsenig	ఆర్సెనిక్
selenium	Selenium	Selenio	Sélénium	硒	Seleen	Selenio	Селен	셀레늄	Szelén	Selen	Selén	Селен	Selen	سلنیم	Seleniu	Selénio	Seleeni	Селен	Selenium	Selenyum	セレン	Selen	Seleni	Селен	Selen	硒	सेलेनियम	Selen	سيلينيوم	Selen	Selenium	ซีลีเนียม	Σελήνιο	סלניום	Selen	Selen	Selenij	Selenium	Selenium	Սելեն	Селен	Seleen	செலீனியம்	Selen	Seleno	Selênio	Selenyo	Селен	Селен	Seleni	Selenas	Selēns	Seleen	Selen	Selen	Seleni	Selenium	Seleniwm	సెలీనియం
bromine	Bromine	Bromo	Brome	溴	Broom	Bromo	Бром	브로민	Bróm	Brom	Bróm	Бром	Brôm	برم	Brom	Bromo	Bromi	Бром	Brom	Brom	臭素	Brom	Brom	Бром	Brom	溴	ब्रोमिन	Brom	بروم	Brom	Brom	โบรมีน	Βρώμιο	ברום	Brom	Brom	Brom	Bromine	Bromin	Բրոմ	Бром	Broom	புரோமின்	Brom	Bromo	Bromo	Bromina	Бром	Бром	Bromi	Bromas	Broms	Broom	Brom	Bróm	Bromi	Bromium	Bromin	బ్రోమిన్
krypton	Krypton	Kriptón	Krypton	氪	Krypton	Kripton	Криптон	크립톤	Kripton	Krypton	Kryptón	Криптон	Krypton	کریپتون	Kripton	Crípton	Krypton	Криптон	Kripton	Kripton	クリプトン	Krypton	Criptó	Криптон	Krypton	氪	क्रिप्टन	Krypton	كريبتون	Krypton	Krypton	คริปทอน	Κρυπτό	קריפטון	Kripton	Krypton	Kripton	Krypton	Krypton	Կրիպտոն	Криптон	Kripton	கிருப்டான்	Kripton	Kriptono	Criptônio	Kripton	Криптон	Крыптон	Kriptoni	Kriptonas	Kriptons	Krüptoon	Kripton	Krypton	Kriptoni	Krypton	Crypton	క్రిప్టాన్
rubidium	Rubidium	Rubidio	Rubidium	铷	Rubidium	Rubidio	Рубидий	루비듐	Rubídium	Rubidium	Rubídium	Рубідій	Rubiđi	روبیدیم	Rubidiu	Rubídio	Rubidium	Рубидий	Rubidium	Rubidyum	ルビジウム	Rubidium	Rubidi	Рубидијум	Rubidium	銣	रुबिडियम	Rubid	روبيديوم	Rubidium	Rubidium	รูบิเดียม	Ρουβίδιο	רובידיום	Rubidij	Rubidium	Rubidij	Rubidium	Rubidium	Ռուբիդիում	Рубидиум	Rubidium	ருபீடியம்	Rubidiy	Rubidio	Rubídio	Rubidyo	Рубидий	Рубідый	Rubidi	Rubidis	Rubīdijs	Rubiidium	Rubidium	Rúbidín	Rubidi	Rubidium	Rwbidiwm	రుబీడియం
strontium	Strontium	Estroncio	Strontium	锶	Strontium	Stronzio	Стронций	스트론튬	Stroncium	Strontium	Stroncium	Стронцій	Stronti	استرانسیم	Stronțiu	Estrôncio 	Strontium	Стронций	Strontium	Stronsyum	ストロンチウム	Stroncium	Estronci	Стронцијум	Strontium	鍶	स्ट्रोन्सियम	Stront	سترونشيوم	Strontium	Strontium	สตรอนเชียม	Στρόντιο	סטרונציום	Stroncij	Strontium	Stroncij	Strontium	Strontium	Ստրոնցիում	Стронциум	Stronsium	இசுட்ரோன்சியம்	Stronsiy	Stroncio	Estrôncio	Estronsyo	Стронций	Стронцый	Stronciumi	Stroncis	Stroncijs	Strontsium	Stronsium	Strontín	Stronti	Strontium	Strontiwm	స్ట్రాన్షియం
yttrium	Yttrium	Itrio	Yttrium	钇	Yttrium	Ittrio	Иттрий	이트륨	Ittrium	Yttrium	Ytrium	Ітрій	Yttri	ایتریم	Ytriu	Ítrio	Yttrium	Итрий	Itrium	İtriyum	イットリウム	Yttrium	Itri	Итријум	Yttrium	釔	इत्रियम	Itr	إتريوم	Yttrium	Yttrium	อิตเทรียม	Ύτριο	איטריום	Itrij	Yttrium	Itrij	Yttrium	Ytrium	Իտրիում	Итриум	Yttrium	இயிற்றியம்	Ittriy	Itrio	Ítrio	Itriyo	Иттрий	Ітрый	Yttrium	Itris	Itrijs	Ütrium	İttrium	Yttrín	Yitri	Yttrium	Ytriwm	యిట్రియం
zirconium	Zirconium	Circonio	Zirconium	锆	Zirkonium	Zirconio	Цирконий	지르코늄	Cirkónium	Zirconium	Zirkónium	Цирконій	Zirconi	زیرکونیم	Zirconiu	Zircónio	Zirkonium	Цирконий	Zirkonium	Zirkonyum	ジルコニウム	Zirkonium	Zirconi	Цирконијум	Zirkonium	鋯	जर्कोनियम	Cyrkon	زركونيوم	Zirkonium	Zirconium	เซอร์โคเนียม	Ζιρκόνιο	זירקוניום	Cirkonij	Zirkonium	Cirkonij	Zirconium	Zirkonium	Ցիրկոնիում	Циркониум	Sirkonium	சிர்க்கோனியம்	Sirkoniy	Zirkonio	Zircônio	Sirkonyo	Цирконий	Цырконій	Zirkoniumi	Cirkonis	Cirkonijs	Tsirkoonium	Sirkonium	Sirkon	Zirikoni	Zirconium	Sirconiwm	జిర్కోనియం
niobium	Niobium	Niobio	Niobium	铌	Niobium	Niobio	Ниобий	나이오븀	Nióbium	Niob	Niób	Ніобій	Niobi	نیوبیم	Niobiu	Nióbio	Niobium	Ниобий	Niobium	Niobyum	ニオブ	Niob	Niobi	Ниобијум	Niob	鈮	नियोबियम	Niob	نيوبيوم	Niob	Niobium	ไนโอเบียม	Νιόβιο	ניוביום	Niobij	Niob	Niobij	Niobium	Niobium	Նիոբիում	Ниобиум	Niobium	நையோபியம்	Niobiy	Niobio	Nióbio	Niobyo	Ниобий	Ніобій	Niobiumi	Niobis	Niobijs	Nioobium	Niobium	Níóbín	Niobi	Niobium	Niobiwm	నియోబియం
