String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
radon	Radon	Radón	Radon	氡	Radon	Radon	Радон	라돈	Radon	Radon	Radón	Радон	Radon	رادون	Radon	Rádon	Radon	Радон	Radon	Radon	ラドン	Radon	Radó	Радон	Radon	氡	रेडन	Radon	رادون	Radon	Radon	เรดอน	Ραδόνιο	רדון	Radon	Radon	Radon	Radon	Radon	Ռադոն	Радон	Radon	ரேடான்	Radon	Radono	Radônio	Radon	Радон	Радон	Radoni	Radonas	Radons	Radoon	Radon	Radon	Radoni	Radon	Radon	రేడాన్
francium	Francium	Francio	Francium	钫	Francium	Francio	Франций	프랑슘	Francium	Francium	Francium	Францій	Franxi	فرانسیم	Franciu	Frâncio	Frankium	Франций	Fransium	Fransiyum	フランシウム	Francium	Franci	Францијум	Francium	鍅	फ्रान्सियम	Frans	فرانسيوم	Francium	Francium	แฟรนเซียม	Φράνκιο	פרנציום	Francij	Francium	Francij	Francium	Fransium	Ֆրանցիում	Франциум	Frankium	பிரான்சியம்	Fransiy	Franciumo	Frâncio	Pransyo	Франций	Францый	Franciumi	Francis	Francijs	Frantsium	Fransium	Fransín	Fransi	Francium	Ffranciwm	ఫ్రాన్షియం
radium	Radium	Radio	Radium	镭	Radium	Radio	Радий	라듐	Rádium	Radium	Rádium	Радій	Radi	رادیم	Radiu	Rádio	Radium	Радий	Radium	Radyum	ラジウム	Radium	Radi	Радијум	Radium	鐳	रेडियम	Rad	راديوم	Radium	Radium	เรเดียม	Ράδιο	רדיום	Radij	Radium	Radij	Radium	Radium	Ռադիում	Радиум	Radium	ரேடியம்	Radiy	Radiumo	Rádio	Radyo	Радий	Радый	Radiumi	Radis	Rādijs	Raadium	Radium	Radín	Radi	Radium	Radiwm	రేడియం
actinium	Actinium	Actinio	Actinium	锕	Actinium	Attinio	Актиний	악티늄	Aktínium	Actinium	Aktínium	Актиній	Actini	اکتینیم	Actiniu	Actínio	Aktinium	Актиний	Aktinium	Actinyum	アクチニウム	Aktinium	Actini	Актинијум	Actinium	錒	एक्टिनियम	Aktyn	أكتينيوم	Aktinium	Actinium	แอกทิเนียม	Ακτίνιο	אקטיניום	Aktinij	Actinium	Aktinij	Actinium	Aktinium	Ակտինիում	Актиниум	Aktinium	அக்டினியம்	Aktiniy	Aktinio	Actínio	Aktinyo	Актиний	Актыній	Aktinium	Aktinis	Aktīnijs	Aktiinium	Aktinium	Aktín	Aktini	Actinium	Actiniwm	ఆక్టీనియం
thorium	Thorium	Torio	Thorium	钍	Thorium	Torio	Торий	토륨	Tórium	Thorium	Tórium	Торій	Thori	توریم	Toriu	Tório	Torium	Торий	Torium	Toryum	トリウム	Thorium	Tori	Торијум	Thorium	釷	थोरियम	Tor	ثوريوم	Torium	Thorium	ทอเรียม	Θόριο	תוריום	Torij	Thorium	Torij	Thorium	Torium	Թորիում	Ториум	Torium	தோரியம்	Toriy	Torio	Tório	Toryo	Торий	Торый	Thorium	Toris	Torijs	Toorium	Torium	Þórín	Thori	Thorium	Thoriwm	థోరియం
protactinium	Protactinium	Protactinio	Protactinium	镤	Protactinium	Protoattinio	Протактиний	프로트악티늄	Protaktínium	Protactinium	Protaktínium	Протактиній	Protactini	پروتاکتینیم	Protactiniu	Protactínio	Protaktinium	Протактиний	Protaktinium	Protaktinyum	プロトアクチニウム	Protaktinium	Protactini	Протактинијум	Protactinium	鏷	प्रोटैक्टीनियम	Protaktyn	بروتكتينيوم	Protaktinium	Protactinium	โพรแทกทิเนียม	Πρωτακτίνιο	פרוטאקטיניום	Protaktinij	Protactinium	Protaktinij	Protactinium	Protaktinium	Պրոտակտինիում	Протактиниум	Protaktinium	புரோடாக்டினியம்	Protaktiniy	Protaktinio	Protactínio	Protaktinyo	Протактиний	Пратактыній	Protactinium	Protaktinis	Protaktīnijs	Protaktiinium	Protaktinium	Prótaktín	Protaktini	Protactinium	Protactiniwm	ప్రొటాక్టీనియం
uranium	Uranium	Uranio	Uranium	铀	Uranium	Uranio	Уран	우라늄	Urán	Uran	Urán	Уран	Urani	اورانیوم	Uraniu	Urânio	Uraani	Уран	Uranium	Uranyum	ウラン	Uran	Urani	Уранијум	Uran	鈾	युरेनियम	Uran	يورانيوم	Uran	Uranium	ยูเรเนียม	Ουράνιο	אורניום	Uran	Uran	Uranij	Uranium	Uranium	Ուրան	Ураниум	Uraan	யுரேனியம்	Uran	Uranio	Urânio	Uranyo	Уран	Уран	Urani	Uranas	Urāns	Uraan	Uran	Úran	Urani	Uranium	Wraniwm	యురేనియం
neptunium	Neptunium	Neptunio	Neptunium	镎	Neptunium	Nettunio	Нептуний	넵투늄	Neptúnium	Neptunium	Neptúnium	Нептуній	Neptuni	نپتونیم	Neptuniu	Neptúnio	Neptunium	Нептуний	Neptunium	Neptünyum	ネプツニウム	Neptunium	Neptuni	Нептунијум	Neptunium	錼	नेप्ट्यूनियम	Neptun	نبتونيوم	Neptunium	Neptunium	เนปทูเนียม	Ποσειδώνιο	נפטוניום	Neptunij	Neptunium	Neptunij	Neptunium	Neptunium	Նեպտունիում	Нептуниум	Neptunium	நெப்டியூனியம்	Neptuniy	Neptunio	Neptúnio	Neptunyo	Нептуний	Нептуній	Neptunium	Neptūnis	Neptūnijs	Neptuunium	Neptun	Neptúnín	Neptuni	Neptunium	Neptwniwm	నెప్ట్యునియం
plutonium	Plutonium	Plutonio	Plutonium	钚	Plutonium	Plutonio	Плутоний	플루토늄	Plutónium	Plutonium	Plutónium	Плутоній	Plutoni	پلوتونیم	Plutoniu	Plutónio	Plutonium	Плутоний	Plutonium	Plutonyum	プルトニウム	Plutonium	Plutoni	Плутонијум	Plutonium	鈈	प्लूटोनियम	Pluton	بلوتونيوم	Plutonium	Plutonium	พลูโทเนียม	Πλουτώνιο	פלוטוניום	Plutonij	Plutonium	Plutonij	Plutonium	Plutonium	Պլուտոնիում	Плутониум	Plutonium	புளுடோனியம்	Plutoniy	Plutonio	Plutônio	Plutonyo	Плутоний	Плутоній	Plutoni	Plutonis	Plutonijs	Plutoonium	Pluton	Plúton	Plutoni	Plutonium	Plwtoniwm	ప్లూటోనియం
americium	Americium	Americio	Américium	镅	Americium	Americio	Америций	아메리슘	Amerícium	Americium	Amerícium	Америцій	Americi	امریسیم	Americiu	Amerício	Amerikium	Америций	Amerisium	Amerikyum	アメリシウム	Americium	Americi	Америцијум	Americium	鎇	अमेरिशियम	Ameryk	أمريكيوم	Americium	Americium	อะเมริเซียม	Αμερίκιο	אמריציום	Americij	Americium	Americij	Americium	Amerisium	Ամերիցիում	Америциум	Amerikium	அமெரிகியம்	Ameritsiy	Americio	Amerício	Amerisyo	Америций	Амерыцый	Americium	Americis	Amerīcijs	Ameriitsium	Amersium	Ameríkín	Ameriki	Americium	Americiwm	అమెరీషియం
